epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,42515.5,0.42971,0.31696,0.88034,0.99241,0.98545,0.99404,0.85742,0.61547,0.26983,0.93809,0.000136187,0.000136187,0.000136187
81,43025.1,0.4247,0.31792,0.88135,0.98758,0.98875,0.99458,0.84109,0.6706,0.28034,0.96602,0.00013,0.00013,0.00013
82,43534.1,0.42026,0.32006,0.88074,0.9901,0.99081,0.99448,0.86509,0.60441,0.26478,0.92924,0.000123812,0.000123812,0.000123812
83,44043.6,0.42262,0.31467,0.8789,0.98885,0.98556,0.9939,0.87748,0.56259,0.25879,0.91024,0.000117625,0.000117625,0.000117625
84,44553.8,0.4211,0.31578,0.88155,0.98902,0.98378,0.99419,0.86718,0.5926,0.26239,0.92635,0.000111438,0.000111438,0.000111438
85,45077.3,0.41956,0.31969,0.87902,0.98844,0.99077,0.99422,0.86596,0.59239,0.26073,0.92314,0.00010525,0.00010525,0.00010525
86,45616.8,0.4078,0.31051,0.87454,0.99257,0.98928,0.99447,0.8668,0.58871,0.25957,0.92388,9.90625e-05,9.90625e-05,9.90625e-05
87,46150,0.40983,0.31099,0.87551,0.99291,0.98683,0.99465,0.86867,0.58481,0.25612,0.91867,9.2875e-05,9.2875e-05,9.2875e-05
88,46695.1,0.40113,0.30706,0.87235,0.99297,0.98659,0.9945,0.8636,0.59997,0.26134,0.92814,8.66875e-05,8.66875e-05,8.66875e-05
89,47241.2,0.4039,0.30631,0.8711,0.98773,0.99099,0.99449,0.87199,0.57742,0.25578,0.91912,8.05e-05,8.05e-05,8.05e-05
90,47783.9,0.4076,0.30919,0.87222,0.9912,0.98632,0.99419,0.87363,0.57117,0.25369,0.91691,7.43125e-05,7.43125e-05,7.43125e-05
91,48291.4,0.38594,0.26999,0.86528,0.98861,0.98437,0.99258,0.86798,0.58001,0.26455,0.92266,6.8125e-05,6.8125e-05,6.8125e-05
92,48797.9,0.36536,0.26035,0.85535,0.98483,0.98721,0.99307,0.84817,0.64955,0.27656,0.95457,6.19375e-05,6.19375e-05,6.19375e-05
93,49311.5,0.36157,0.25438,0.85487,0.98578,0.99208,0.99369,0.86453,0.59457,0.26149,0.93047,5.575e-05,5.575e-05,5.575e-05
94,49821.6,0.3627,0.25422,0.85464,0.98908,0.98922,0.994,0.85923,0.62121,0.26677,0.94258,4.95625e-05,4.95625e-05,4.95625e-05
95,50327.8,0.3541,0.24945,0.85264,0.98692,0.99015,0.99335,0.87093,0.58207,0.25957,0.9215,4.3375e-05,4.3375e-05,4.3375e-05
96,50832.8,0.35037,0.24802,0.85089,0.98649,0.99028,0.99409,0.86622,0.59599,0.26034,0.92814,3.71875e-05,3.71875e-05,3.71875e-05
97,51337.3,0.35206,0.24908,0.85425,0.98631,0.99009,0.99409,0.87094,0.58275,0.25848,0.91978,3.1e-05,3.1e-05,3.1e-05
98,51844.2,0.35091,0.24672,0.8546,0.98765,0.98668,0.99336,0.86224,0.60752,0.26455,0.93324,2.48125e-05,2.48125e-05,2.48125e-05
99,52361.1,0.34275,0.24362,0.84836,0.98954,0.98958,0.9941,0.86387,0.60523,0.26191,0.9339,1.8625e-05,1.8625e-05,1.8625e-05
100,52875.6,0.34262,0.24421,0.84742,0.98665,0.99069,0.99373,0.87027,0.58299,0.25683,0.92233,1.24375e-05,1.24375e-05,1.24375e-05
